Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0081,123.287538
2013-12-31,0.0082,122.257660
2013-03-31,0.0078,128.040884
2012-12-31,0.0077,129.561714
2012-03-31,0.0083,119.814657
2011-12-31,0.0085,118.157254
2011-03-31,0.0092,108.732
2010-12-31,0.0093,107.448
2010-03-31,0.0090824,110.103
2009-12-31,0.0092429,108.191
2009-03-31,0.008512,117.481
2008-12-31,0.0078841,126.837
2008-03-31,0.007234,138.23
2007-12-31,0.007245,138.02
2007-03-31,0.007620191,131.2303
2006-12-31,0.007850119,127.3866
2006-03-31,0.00853,117.237
2005-12-31,0.00856544,116.7483
2005-03-31,0.008966,111.5317
2004-12-31,0.00917677,108.9708
2004-03-31,0.010053,99.4753
2003-12-31,0.01044584,95.7319
2003-03-31,0.011154,89.656
2002-12-31,0.01152289,86.7838
2002-03-31,0.0123185023,81.1787
2001-12-31,0.0124284741,80.4604
2001-03-31,0.0127736434,78.2862
2000-12-29,0.0126432160,79.0938
2000-03-31,0.0124874657,80.0803
1999-12-30,0.0126098952,79.3028
1999-03-31,0.012719,78.6191
1998-12-31,0.012823,77.9876
1998-03-31,0.013648,73.2702
1997-12-30,0.0139246,71.8156
1997-03-31,0.015073,66.3433
1996-12-31,0.015528,64.3978
1996-03-31,0.015893,62.9207
1995-12-30,0.015835,63.1528
1995-03-31,0.016299,61.3533
1994-12-30,0.016602,60.2325
1994-03-31,0.016844,59.3674
1993-12-31,0.016879,59.2438
1993-03-31,0.0153782,65.027
1992-12-31,0.0148012,67.562
1992-03-31,0.0158072,63.262
1991-12-31,0.0158546,63.073
1991-03-31,0.015852,63.085
1990-12-31,0.016891,59.202
