Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.5013,1.994973
Average,2012-12-31,2013-12-31,0.5119,1.953496
Average,2012-03-31,2013-03-31,0.5057,1.965832
Average,2011-12-31,2012-12-31,0.5055,1.978051
Average,2011-03-31,2012-03-31,0.4988,2.004905
Average,2010-12-31,2011-12-31,0.4965,2.013958
Average,2010-03-31,2011-03-31,0.4829,2.0706
Average,2009-12-31,2010-12-31,0.4745,2.1075
Average,2009-03-31,2010-03-31,0.44098,2.2677
Average,2008-12-31,2009-12-31,0.4397,2.2743
Average,2008-03-31,2009-03-31,0.40765,2.4531
Average,2007-12-31,2008-12-31,0.38438,2.6016
Average,2007-03-31,2008-03-31,0.338055,2.9581
Average,2006-12-31,2007-12-31,0.331928,3.0127
Average,2006-03-31,2007-03-31,0.337279504,2.9649
Average,2005-12-31,2006-12-31,0.341868654,2.9251
Average,2005-03-31,2006-03-31,0.33846,2.9546
Average,2004-12-31,2005-12-31,0.33132331,3.0182
Average,2004-03-31,2005-03-31,0.323729,3.089
Average,2003-12-31,2004-12-31,0.32354083,3.0908
Average,2003-03-31,2004-03-31,0.339916,2.9419
Average,2002-12-31,2003-12-31,0.34910106,2.8645
Average,2002-03-31,2003-03-31,0.365444,2.7364
Average,2001-12-31,2002-12-31,0.37160907,2.691
Average,2001-03-28,2002-03-28,0.3849262866,2.5979
Average,2000-12-31,2001-12-31,0.3866377977,2.5864
Average,2000-03-31,2001-03-31,0.3886664853,2.5729
Average,1999-12-29,2000-12-29,0.3821315297,2.6169
Average,1999-03-31,2000-03-31,0.3666092312,2.7277
Average,1998-12-30,1999-12-30,0.3652167561,2.7381
Average,1998-03-31,1999-03-31,0.35944,2.7821
Average,1997-12-31,1998-12-31,0.36157,2.7657
Average,1997-03-31,1998-03-31,0.396259,2.5236
Average,1996-12-30,1997-12-30,0.4130866,2.4208
Average,1996-03-31,1997-03-31,0.447948,2.2324
Average,1995-12-31,1996-12-31,0.455602,2.1949
Average,1995-03-31,1996-03-31,0.451773,2.2135
Average,1994-12-30,1995-12-30,0.445613,2.2441
Average,1994-03-31,1995-03-31,0.431053,2.3199
Average,1993-12-30,1994-12-30,0.427661,2.3383
Average,1993-03-30,1994-03-30,0.414285,2.4138
Average,1992-12-31,1993-12-31,0.410965,2.4333
Average,1992-03-31,1993-03-31,0.3603214,2.7753
Average,1991-12-31,1992-12-31,0.34478,2.9004
Average,1991-03-31,1992-03-31,0.3375641,2.9624
Average,1990-12-31,1991-12-31,0.3267867,3.0601
Average,1990-03-31,1991-03-31,-,-
Average,1989-12-31,1990-12-31,-,-
Average,1989-03-31,1990-03-31,0.320082,3.1242
Average,1988-12-31,1989-12-31,0.313696,3.1878
