Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0012,812.637711
2013-12-31,0.0013,771.172075
2013-03-31,0.0013,763.586596
2012-12-31,0.0013,770.0784489
2012-03-31,0.0013,774.093184
2011-12-31,0.0013,771.550411
2011-03-31,0.0013,778.013
2010-12-31,0.0013,788.607
2010-03-31,0.0011699,854.751
2009-12-31,0.0011483,870.827
2009-03-31,0.0010571,946.012
2008-12-31,0.001045,956.952
2008-03-31,0.0009922,1007.89
2007-12-31,0.0009586,1043.21
2007-03-31,0.00098947,1010.6452
2006-12-31,0.00102336,977.173
2006-03-31,0.001025,975.9229
2005-12-31,0.000981,1018.873
2005-03-31,0.000894,1118.999
2004-12-31,0.000895,1116.725
2004-03-31,0.000907,1102.879
2003-12-31,0.000889,1125.31
2003-03-31,0.000913,1095.468
2002-12-31,0.000962,1039.465
2002-03-28,0.0010571808,945.912
2001-12-31,0.0010908225,916.7394
2001-03-31,0.0012173831,821.4341
2000-12-29,0.0012241523,816.8918
2000-03-31,0.0012047937,830.0176
1999-12-30,0.0012133340,824.1754
1999-03-31,0.0012865,777.2736
1998-12-31,0.0013088,764.0855
1998-03-31,0.001421,703.7922
1997-12-30,0.001454,687.7897
1997-03-31,0.001521,657.2934
1996-12-31,0.001553,644.0859
1996-03-31,0.00161,621.3107
1995-12-30,0.001596,626.577
1995-03-31,0.00155,645.1659
1994-12-30,0.001555,643.1733
1994-03-30,0.001601,624.6724
1993-12-31,0.001645,607.82
1993-03-31,0.0015974,626.01
1992-12-31,0.0015585,641.61
1992-03-31,0.0016196,617.43
1991-12-31,0.0016142,619.50
1991-03-31,0.001650,605.98
1990-12-31,0.001834,545.12
1990-03-31,0.002338,427.79
1989-12-31,0.002540,393.66
