Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0012,812.637711,Chilean Peso
Average,2012-12-31,2013-12-31,0.0013,771.172075,Chilean Peso
Average,2012-03-31,2013-03-31,0.0013,763.586596,Chilean Peso
Average,2011-12-31,2012-12-31,0.0013,770.0784489,Chilean Peso
Average,2011-03-31,2012-03-31,0.0013,774.093184,Chilean Peso
Average,2010-12-31,2011-12-31,0.0013,771.550411,Chilean Peso
Average,2010-03-31,2011-03-31,0.0013,778.013,Chilean Peso
Average,2009-12-31,2010-12-31,0.0013,788.607,Chilean Peso
Average,2009-03-31,2010-03-31,0.0011699,854.751,Chilean Peso
Average,2008-12-31,2009-12-31,0.0011483,870.827,Chilean Peso
Average,2008-03-31,2009-03-31,0.0010571,946.012,Chilean Peso
Average,2007-12-31,2008-12-31,0.001045,956.952,Chilean Peso
Average,2007-03-31,2008-03-31,0.0009922,1007.89,Chilean Peso
Average,2006-12-31,2007-12-31,0.0009586,1043.21,Chilean Peso
Average,2006-03-31,2007-03-31,0.00098947,1010.6452,Chilean Peso
Average,2005-12-31,2006-12-31,0.00102336,977.173,Chilean Peso
Average,2005-03-31,2006-03-31,0.001025,975.9229,Chilean Peso
Average,2004-12-31,2005-12-31,0.000981,1018.873,Chilean Peso
Average,2004-03-31,2005-03-31,0.000894,1118.999,Chilean Peso
Average,2003-12-31,2004-12-31,0.000895,1116.725,Chilean Peso
Average,2003-03-31,2004-03-31,0.000907,1102.879,Chilean Peso
Average,2002-12-31,2003-12-31,0.000889,1125.31,Chilean Peso
Average,2002-03-31,2003-03-31,0.000913,1095.468,Chilean Peso
Average,2001-12-31,2002-12-31,0.000962,1039.465,Chilean Peso
Average,2001-03-28,2002-03-28,0.0010571808,945.912,Chilean Peso
Average,2000-12-31,2001-12-31,0.0010908225,916.7394,Chilean Peso
Average,2000-03-31,2001-03-31,0.0012173831,821.4341,Chilean Peso
Average,1999-12-29,2000-12-29,0.0012241523,816.8918,Chilean Peso
Average,1999-03-31,2000-03-31,0.0012047937,830.0176,Chilean Peso
Average,1998-12-30,1999-12-30,0.0012133340,824.1754,Chilean Peso
Average,1998-03-31,1999-03-31,0.0012865,777.2736,Chilean Peso
Average,1997-12-31,1998-12-31,0.0013088,764.0855,Chilean Peso
Average,1997-03-31,1998-03-31,0.001421,703.7922,Chilean Peso
Average,1996-12-30,1997-12-30,0.001454,687.7897,Chilean Peso
Average,1996-03-31,1997-03-31,0.001521,657.2934,Chilean Peso
Average,1995-12-31,1996-12-31,0.001553,644.0859,Chilean Peso
Average,1995-03-31,1996-03-31,0.00161,621.3107,Chilean Peso
Average,1994-12-30,1995-12-30,0.001596,626.577,Chilean Peso
Average,1994-03-31,1995-03-31,0.00155,645.1659,Chilean Peso
Average,1993-12-30,1994-12-30,0.001555,643.1733,Chilean Peso
Average,1993-03-30,1994-03-30,0.001601,624.6724,Chilean Peso
Average,1992-12-31,1993-12-31,0.001645,607.82,Chilean Peso
Average,1992-03-31,1993-03-31,0.0015974,626.01,Chilean Peso
Average,1991-12-31,1992-12-31,0.0015585,641.61,Chilean Peso
Average,1991-03-31,1992-03-31,0.0016196,617.43,Chilean Peso
Average,1990-12-31,1991-12-31,0.0016142,619.50,Chilean Peso
Average,1990-03-31,1991-03-31,0.001650,605.98,Chilean Peso
Average,1989-12-31,1990-12-31,0.001834,545.12,Chilean Peso
Average,1989-03-31,1990-03-31,0.002338,427.79,Chilean Peso
Average,1988-12-31,1989-12-31,0.002540,393.66,Chilean Peso
