Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.1031,9.697792,Renminbi Yuan
Average,2012-12-31,2013-12-31,0.1039,9.623090,Renminbi Yuan
Average,2012-03-31,2013-03-31,0.1006,9.943490,Renminbi Yuan
Average,2011-12-31,2012-12-31,0.1001,9.988053,Renminbi Yuan
Average,2011-03-31,2012-03-31,0.0968,10.331410,Renminbi Yuan
Average,2010-12-31,2011-12-31,0.0964,10.374478,Renminbi Yuan
Average,2010-03-31,2011-03-31,0.096,10.4195,Renminbi Yuan
Average,2009-12-31,2010-12-31,0.0956,10.4587,Renminbi Yuan
Average,2009-03-31,2010-03-31,0.091913,10.8798,Renminbi Yuan
Average,2008-12-31,2009-12-31,0.09342,10.7044,Renminbi Yuan
Average,2008-03-31,2009-03-31,0.085124,11.7475,Renminbi Yuan
Average,2007-12-31,2008-12-31,0.077942,12.8301,Renminbi Yuan
Average,2007-03-31,2008-03-31,0.066916,14.944,Renminbi Yuan
Average,2006-12-31,2007-12-31,0.065742,15.2109,Renminbi Yuan
Average,2006-03-31,2007-03-31,0.066695568,14.9935,Renminbi Yuan
Average,2005-12-31,2006-12-31,0.067968952,14.7126,Renminbi Yuan
Average,2005-03-31,2006-03-31,0.06908,14.4759,Renminbi Yuan
Average,2004-12-31,2005-12-31,0.0672488,14.8666,Renminbi Yuan
Average,2004-03-31,2005-03-31,0.065433,15.2827,Renminbi Yuan
Average,2003-12-31,2004-12-31,0.06597307,15.1577,Renminbi Yuan
Average,2003-03-31,2004-03-31,0.070942,14.0961,Renminbi Yuan
Average,2002-12-31,2003-12-31,0.07345811,13.6132,Renminbi Yuan
Average,2002-03-31,2003-03-31,0.077891,12.8385,Renminbi Yuan
Average,2001-12-31,2002-12-31,0.08014169,12.4779,Renminbi Yuan
Average,2001-03-28,2002-03-28,0.0843604215,11.8539,Renminbi Yuan
Average,2000-12-31,2001-12-31,0.0839228916,11.9157,Renminbi Yuan
Average,2000-03-31,2001-03-31,0.0818109676,12.2233,Renminbi Yuan
Average,1999-12-29,2000-12-29,0.0797569010,12.5381,Renminbi Yuan
Average,1999-03-31,2000-03-31,0.0750373311,13.3267,Renminbi Yuan
Average,1998-12-30,1999-12-30,0.0748211774,13.3652,Renminbi Yuan
Average,1998-03-31,1999-03-31,0.073133,13.6737,Renminbi Yuan
Average,1997-12-31,1998-12-31,0.0727675,13.7424,Renminbi Yuan
Average,1997-03-31,1998-03-31,0.073551,13.596,Renminbi Yuan
Average,1996-12-30,1997-12-30,0.0735462,13.5969,Renminbi Yuan
Average,1996-03-31,1997-03-31,0.076036,13.1517,Renminbi Yuan
Average,1995-12-31,1996-12-31,0.077284,12.9393,Renminbi Yuan
Average,1995-03-31,1996-03-31,0.076496,13.0726,Renminbi Yuan
Average,1994-12-30,1995-12-30,0.07565,13.2187,Renminbi Yuan
Average,1994-03-31,1995-03-31,0.075405,13.2618,Renminbi Yuan
Average,1993-12-30,1994-12-30,0.075923,13.1712,Renminbi Yuan
Average,1993-03-30,1994-03-30,0.0102202,9.7845,Renminbi Yuan
Average,1992-12-31,1993-12-31,0.115119,8.6867,Renminbi Yuan
Average,1992-03-31,1993-03-31,0.1050464,9.5196,Renminbi Yuan
Average,1991-12-31,1992-12-31,0.1017687,9.8262,Renminbi Yuan
Average,1991-03-31,1992-03-31,0.1069955,9.3461,Renminbi Yuan
Average,1990-12-31,1991-12-31,0.1061965,9.4165,Renminbi Yuan
Average,1990-03-31,1991-03-31,0.111283,8.9861,Renminbi Yuan
Average,1989-12-31,1990-12-31,0.118963,8.4060,Renminbi Yuan
