Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.6312,1.584390
Average,2012-12-31,2013-12-31,See US Dollar,See US Dollar
Average,2003-03-31,2004-03-31,See US Dollar,See US Dollar
Average,2002-12-31,2003-12-31,See US Dollar,See US Dollar
Average,2002-03-31,2003-03-31,See US Dollar,See US Dollar
Average,2001-12-31,2002-12-31,See US Dollar,See US Dollar
Average,2001-03-28,2002-03-28,See US Dollar,See US Dollar
Average,2000-12-31,2001-12-31,See US Dollar,See US Dollar
Average,2000-03-31,2001-03-31,0.0000359147,27843.72
Average,1999-12-29,2000-12-29,0.0000264136,37859.2583
Average,1999-03-31,2000-03-31,0.0000381187,26233.83
Average,1998-12-30,1999-12-30,0.0000502616,19895.9167
Average,1998-03-31,1999-03-31,0.000090842,11008.15
Average,1997-12-31,1998-12-31,0.00010804,9258.9275
Average,1997-03-31,1998-03-31,0.000146,6850.581
Average,1996-12-30,1997-12-30,0.0001541,6490.7567
Average,1996-03-31,1997-03-31,0.000188,5312.16
Average,1995-12-31,1996-12-31,0.000202,4946.143
Average,1995-03-31,1996-03-31,0.00024,4170.219
Average,1994-12-30,1995-12-30,0.000252,3968.088
Average,1994-03-31,1995-03-31,0.000298,3351.428
Average,1993-12-30,1994-12-30,0.000318,3143.393
Average,1993-03-30,1994-03-30,0.000353,2829.048
Average,1992-12-31,1993-12-31,0.000359,2789.178
Average,1992-03-31,1993-03-31,0.0003645,2743.3
Average,1991-12-31,1992-12-31,0.0003788,2639.9
Average,1991-03-31,1992-03-31,0.0004994,2002.4
Average,1990-12-31,1991-12-31,0.0005374,1860.8
Average,1990-03-31,1991-03-31,0.000637,1570
Average,1989-12-31,1990-12-31,0.000711,1407
