Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.3028,3.302976
Average,2012-12-31,2013-12-31,0.3115,3.210179
Average,2012-03-31,2013-03-31,0.3526,2.835903
Average,2011-12-31,2012-12-31,0.3528,2.834738
Average,2011-03-31,2012-03-31,0.35,2.857002
Average,2010-12-31,2011-12-31,0.3479,2.874145
Average,2010-03-31,2011-03-31,0.3399,2.9422
Average,2009-12-31,2010-12-31,0.3371,2.9662
Average,2009-03-31,2010-03-31,0.31523,3.1723
Average,2008-12-31,2009-12-31,0.32433,3.0833
Average,2008-03-31,2009-03-31,0.35329,2.8305
Average,2007-12-31,2008-12-31,0.34243,2.9203
Average,2007-03-31,2008-03-31,0.31746,3.1500
Average,2006-12-31,2007-12-31,0.310771,3.2178
Average,2006-03-31,2007-03-31,0.307389647,3.2532
Average,2005-12-31,2006-12-31,0.312090381,3.2042
Average,2005-03-31,2006-03-31,0.32727,3.0556
Average,2004-12-31,2005-12-31,0.32596649,3.0678
Average,2004-03-31,2005-03-31,0.315676,3.1678
Average,2003-12-31,2004-12-31,0.31536788,3.1709
Average,2003-03-31,2004-03-31,0.324538,3.0813
Average,2002-12-31,2003-12-31,0.32337343,3.0924
Average,2002-03-31,2003-03-31,0.307579,3.2512
Average,2001-12-31,2002-12-31,0.30608185,3.2671
Average,2001-03-28,2002-03-28,0.3052875809,3.2756
Average,2000-12-31,2001-12-31,0.3046922608,3.282
Average,2000-03-31,2001-03-31,0.3093006712,3.2331
Average,1999-12-29,2000-12-29,0.3100871345,3.2249
Average,1999-03-31,2000-03-31,0.3132733937,3.1921
Average,1998-12-30,1999-12-30,0.3139126067,3.1856
Average,1998-03-31,1999-03-31,0.30199,3.3113
Average,1997-12-31,1998-12-31,0.30287,3.3017
Average,1997-03-31,1998-03-31,0.398057,2.5122
Average,1996-12-30,1997-12-30,0.424863,2.3537
Average,1996-03-31,1997-03-31,0.451304,2.2158
Average,1995-12-31,1996-12-31,0.457289,2.1868
Average,1995-03-31,1996-03-31,0.453083,2.2071
Average,1994-12-30,1995-12-30,0.450045,2.222
Average,1994-03-31,1995-03-31,0.445871,2.2428
Average,1993-12-30,1994-12-30,0.443164,2.2565
Average,1993-03-30,1994-03-30,0.432059,2.3145
Average,1992-12-31,1993-12-31,0.430311,2.3239
Average,1992-03-31,1993-03-31,0.3865033,2.5873
Average,1991-12-31,1992-12-31,0.3742234,2.6722
Average,1991-03-31,1992-03-31,0.3890445,2.5704
Average,1990-12-31,1991-12-31,0.3851931,2.5961
Average,1990-03-31,1991-03-31,0.371388,2.6926
Average,1989-12-31,1990-12-31,0.381345,2.6223
