Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.2336,4.2811153
Average,2012-12-31,2013-12-31,0.2368,4.222122
Average,2012-03-31,2013-03-31,0.2343,4.268432
Average,2011-12-31,2012-12-31,0.2341,4.271626
Average,2011-03-31,2012-03-31,0.2305,4.337571
Average,2010-12-31,2011-12-31,0.231,4.328835
Average,2010-03-31,2011-03-31,0.2386,4.1916
Average,2009-12-31,2010-12-31,0.2398,4.1700
Average,2009-03-31,2010-03-31,0.23243,4.3023
Average,2008-12-31,2009-12-31,0.2368,4.2229
Average,2008-03-31,2009-03-31,0.21572,4.6356
Average,2007-12-31,2008-12-31,0.200004,4.9999
Average,2007-03-31,2008-03-31,0.184488,5.4204
Average,2006-12-31,2007-12-31,0.185076,5.4032
Average,2006-03-31,2007-03-31,0.19552636,5.1144
Average,2005-12-31,2006-12-31,0.20085565,4.9787
Average,2005-03-31,2006-03-31,0.2074904,4.8195
Average,2004-12-31,2005-12-31,0.203558197,4.9126
Average,2004-03-31,2005-03-31,0.2004008,4.99
Average,2003-12-31,2004-12-31,0.2019182,4.9525
Average,2003-03-31,2004-03-31,0.220269,4.5399
Average,2002-12-31,2003-12-31,0.228389,4.3785
Average,2002-03-31,2003-03-31,0.239441,4.1764
Average,2001-12-31,2002-12-31,0.246822,4.0515
Average,2001-03-28,2002-03-28,0.2590942067,3.8596
Average,2000-12-31,2001-12-31,0.2570297640,3.8906
Average,2000-03-31,2001-03-31,0.2503316895,3.9947
Average,1999-12-29,2000-12-29,0.2442897276,4.0935
Average,1999-03-31,2000-03-31,0.2298692044,4.3503
Average,1998-12-30,1999-12-30,0.2288905674,4.3689
Average,1998-03-31,1999-03-31,0.22383,4.4677
Average,1997-12-31,1998-12-31,0.2232741,4.4788
Average,1997-03-31,1998-03-31,0.225281,4.4389
Average,1996-12-30,1997-12-30,0.225943,4.4259
Average,1996-03-31,1997-03-31,0.233427,4.284
Average,1995-12-31,1996-12-31,0.237102,4.2176
Average,1995-03-31,1996-03-31,0.236457,4.2291
Average,1994-12-30,1995-12-30,0.234461,4.2651
Average,1994-03-31,1995-03-31,0.237931,4.2029
Average,1993-12-30,1994-12-30,0.241622,4.1387
Average,1993-03-30,1994-03-30,0.241558,4.1398
Average,1992-12-31,1993-12-31,0.241844,4.1349
Average,1992-03-31,1993-03-31,0.218895,4.5684
Average,1991-12-31,1992-12-31,0.201349,4.9665
Average,1991-03-31,1992-03-31,0.2134927,4.6840
Average,1990-12-31,1991-12-31,0.2094153,4.7752
Average,1990-03-31,1991-03-31,0.198622,5.0347
Average,1989-12-31,1990-12-31,0.208156,4.8041
Average,1989-03-31,1990-03-31,0.227402,4.3975
Average,1988-12-31,1989-12-31,0.226516,4.4147
