Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.2336,4.2811153
2013-12-31,0.2368,4.222122
2013-03-31,0.2343,4.268432
2012-12-31,0.2341,4.271626
2012-03-31,0.2305,4.337571
2011-12-31,0.231,4.328835
2011-03-31,0.2386,4.1916
2010-12-31,0.2398,4.1700
2010-03-31,0.23243,4.3023
2009-12-31,0.2368,4.2229
2009-03-31,0.21572,4.6356
2008-12-31,0.200004,4.9999
2008-03-31,0.184488,5.4204
2007-12-31,0.185076,5.4032
2007-03-31,0.19552636,5.1144
2006-12-31,0.20085565,4.9787
2006-03-31,0.2074904,4.8195
2005-12-31,0.203558197,4.9126
2005-03-31,0.2004008,4.99
2004-12-31,0.2019182,4.9525
2004-03-31,0.220269,4.5399
2003-12-31,0.228389,4.3785
2003-03-31,0.239441,4.1764
2002-12-31,0.246822,4.0515
2002-03-28,0.2590942067,3.8596
2001-12-31,0.2570297640,3.8906
2001-03-31,0.2503316895,3.9947
2000-12-29,0.2442897276,4.0935
2000-03-31,0.2298692044,4.3503
1999-12-30,0.2288905674,4.3689
1999-03-31,0.22383,4.4677
1998-12-31,0.2232741,4.4788
1998-03-31,0.225281,4.4389
1997-12-30,0.225943,4.4259
1997-03-31,0.233427,4.284
1996-12-31,0.237102,4.2176
1996-03-31,0.236457,4.2291
1995-12-30,0.234461,4.2651
1995-03-31,0.237931,4.2029
1994-12-30,0.241622,4.1387
1994-03-30,0.241558,4.1398
1993-12-31,0.241844,4.1349
1993-03-31,0.218895,4.5684
1992-12-31,0.201349,4.9665
1992-03-31,0.2134927,4.6840
1991-12-31,0.2094153,4.7752
1991-03-31,0.198622,5.0347
1990-12-31,0.208156,4.8041
1990-03-31,0.227402,4.3975
1989-12-31,0.226516,4.4147
