Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0104,95.7333320
Average,2012-12-31,2013-12-31,0.011,91.21795370
Average,2012-03-31,2013-03-31,0.0116,85.898432
Average,2011-12-31,2012-12-31,0.0118,84.532805
Average,2011-03-31,2012-03-31,0.0132,75.633995
Average,2010-12-31,2011-12-31,0.0134,74.557648
Average,2010-03-31,2011-03-31,0.0141,70.8063
Average,2009-12-31,2010-12-31,0.0141,70.7247
Average,2009-03-31,2010-03-31,0.013235,75.5588
Average,2008-12-31,2009-12-31,0.013222,75.6294
Average,2008-03-31,2009-03-31,0.01279,78.1871
Average,2007-12-31,2008-12-31,0.012506,79.9647
Average,2007-03-31,2008-03-31,0.012383,80.7528
Average,2006-12-31,2007-12-31,0.012106,82.6063
Average,2006-03-31,2007-03-31,0.01168186,85.6028
Average,2005-12-31,2006-12-31,0.01198289,83.4523
Average,2005-03-31,2006-03-31,0.01268,78.8637
Average,2004-12-31,2005-12-31,0.012485,80.099
Average,2004-03-31,2005-03-31,0.0120681,82.8631
Average,2003-12-31,2004-12-31,0.01206,82.9188
Average,2003-03-31,2004-03-31,0.01286,77.7583
Average,2002-12-31,2003-12-31,0.01313,76.1738
Average,2002-03-31,2003-03-31,0.01336,74.8503
Average,2001-12-31,2002-12-31,0.01369,73.0477
Average,2001-03-28,2002-03-28,0.0146325689,68.3407
Average,2000-12-31,2001-12-31,0.0147078939,67.9907
Average,2000-03-31,2001-03-31,0.0148015263,67.5606
Average,1999-12-29,2000-12-29,0.0146890547,68.0779
Average,1999-03-31,2000-03-31,0.0143269965,69.7983
Average,1998-12-30,1999-12-30,0.0143576667,69.6492
Average,1998-03-31,1999-03-31,0.014369,69.5958
Average,1997-12-31,1998-12-31,0.014613,68.432
Average,1996-12-30,1997-12-30,0.01679,59.5592
Average,1997-03-31,1998-03-31,0.016362,61.116
Average,1994-03-31,1995-03-31,0.020495,48.7919
Average,1995-12-31,1996-12-31,0.018089,55.2826
Average,1996-03-31,1997-03-31,0.017765,56.2891
Average,1993-12-30,1994-12-30,0.020817,48.0375
Average,1993-03-30,1994-03-30,0.02121,47.1483
Average,1992-12-31,1993-12-31,0.021478,46.5587
Average,1992-03-31,1993-03-31,0.0205145,48.746
Average,1991-12-31,1992-12-31,0.0202457,49.393
Average,1991-03-31,1992-03-31,0.0234802,42.589
Average,1990-12-31,1991-12-31,0.0251142,39.818
Average,1990-03-31,1991-03-31,0.029386,34.030
Average,1989-12-31,1990-12-31,0.032161,31.094
Average,1989-03-31,1990-03-31,0.036860,27.130
Average,1988-12-31,1989-12-31,0.037840,26.427
