Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.177,5.650203
Average,2012-12-31,2013-12-31,0.1769,5.653766
Average,2012-03-31,2013-03-31,0.1646,6.074167
Average,2011-12-31,2012-12-31,0.1637,6.108028
Average,2011-03-31,2012-03-31,0.1733,5.7698
Average,2010-12-31,2011-12-31,0.1747,5.7247
Average,2010-03-31,2011-03-31,0.1739,5.7495
Average,2009-12-31,2010-12-31,0.1731,5.7775
Average,2009-03-31,2010-03-31,0.16319,6.1280
Average,2008-12-31,2009-12-31,0.16302,6.1341
Average,2008-03-31,2009-03-31,0.15918,6.2823
Average,2007-12-31,2008-12-31,0.15111,6.6178
Average,2007-03-31,2008-03-31,0.125832,7.9471
Average,2006-12-31,2007-12-31,0.121795,8.2105
Average,2006-03-31,2007-03-31,0.12168559,8.2179
Average,2005-12-31,2006-12-31,0.12185314,8.2066
Average,2005-03-31,2006-03-31,0.12283,8.1412
Average,2004-12-31,2005-12-31,0.122641,8.1539
Average,2004-03-31,2005-03-31,0.1216619,8.2195
Average,2003-12-31,2004-12-31,0.1217463,8.2138
Average,2003-03-31,2004-03-31,0.13227,7.5603
Average,2002-12-31,2003-12-31,0.13442,7.4392
Average,2002-03-31,2003-03-31,0.1348454,7.4159
Average,2001-12-31,2002-12-31,0.1402662,7.1293
Average,2001-03-28,2002-03-28,0.1611369825,6.2059
Average,2000-12-31,2001-12-31,0.1648098095,6.0676
Average,2000-03-31,2001-03-31,0.1649919979,6.0609
Average,1999-12-29,2000-12-29,0.1617835013,6.1811
Average,1999-03-31,2000-03-31,0.1498688647,6.6725
Average,1998-12-30,1999-12-30,0.1492002865,6.7024
Average,1998-03-31,1999-03-31,0.15397,6.4948
Average,1997-12-31,1998-12-31,0.15836,6.3147
Average,1997-03-31,1998-03-31,0.173004,5.7802
Average,1996-12-30,1997-12-30,0.177079,5.6472
Average,1996-03-31,1997-03-31,0.194118,5.1515
Average,1995-12-31,1996-12-31,0.200453,4.9887
Average,1995-03-31,1996-03-31,0.210053,4.7607
Average,1994-12-30,1995-12-30,0.210318,4.7547
Average,1994-03-31,1995-03-31,0.213306,4.6881
Average,1993-12-30,1994-12-30,0.216849,4.6115
Average,1993-03-30,1994-03-30,0.231857,4.313
Average,1992-12-31,1993-12-31,0.236133,4.2349
Average,1992-03-31,1993-03-31,0.2316638,4.3166
Average,1991-12-31,1992-12-31,0.2314814,4.32
Average,1991-03-31,1992-03-31,0.2456519,4.0708
Average,1990-12-31,1991-12-31,0.2365744,4.227
Average,1990-03-31,1991-03-31,0.261629,3.8222
Average,1989-12-31,1990-12-31,0.278133,3.5954
Average,1989-03-31,1990-03-31,0.313706,3.1877
Average,1988-12-31,1989-12-31,0.319448,3.1304
