Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0061,162.911096,Jamaican Dollar
Average,2012-12-31,2013-12-31,0.0064,155.152849,Jamaican Dollar
Average,2012-03-31,2013-03-31,0.007,142.587557,Jamaican Dollar
Average,2011-12-31,2012-12-31,0.0072,139.787857,Jamaican Dollar
Average,2010-03-31,2011-03-31,0.0075,133.469,Jamaican Dollar
Average,2009-12-31,2010-12-31,0.0074,134.233,Jamaican Dollar
Average,2009-03-31,2010-03-31,0.0070728,141.387,Jamaican Dollar
Average,2008-12-31,2009-12-31,0.007265,137.646,Jamaican Dollar
Average,2008-03-31,2009-03-31,0.0076918,130.009,Jamaican Dollar
Average,2007-12-31,2008-12-31,0.007446,134.301,Jamaican Dollar
Average,2007-03-31,2008-03-31,0.007125,140.35,Jamaican Dollar
Average,2006-12-31,2007-12-31,0.007241,138.11,Jamaican Dollar
Average,2006-03-31,2007-03-31,0.00794640,125.8431,Jamaican Dollar
Average,2005-12-31,2006-12-31,0.00824050,121.3518,Jamaican Dollar
Average,2005-03-31,2006-03-31,0.00889924,112.3691,Jamaican Dollar
Average,2004-12-31,2005-12-31,0.008864,112.8199,Jamaican Dollar
Average,2004-03-31,2005-03-31,0.0088772,112.6475,Jamaican Dollar
Average,2003-12-31,2004-12-31,0.0089752,111.4187,Jamaican Dollar
Average,2003-03-31,2004-03-31,0.009961,100.3891,Jamaican Dollar
Average,2002-12-31,2003-12-31,0.010687,93.5725,Jamaican Dollar
Average,2002-03-31,2003-03-31,0.013041,76.6837,Jamaican Dollar
Average,2001-12-31,2002-12-31,0.013767,72.6379,Jamaican Dollar
Average,2001-03-28,2002-03-28,0.0150953650,66.2455,Jamaican Dollar
Average,2000-12-31,2001-12-31,0.0151812566,65.8707,Jamaican Dollar
Average,2000-03-31,2001-03-31,0.0156156794,64.0382,Jamaican Dollar
Average,1999-12-29,2000-12-29,0.0156159476,64.0371,Jamaican Dollar
Average,1999-03-31,2000-03-31,0.0157736170,63.397,Jamaican Dollar
Average,1998-12-30,1999-12-30,0.0160825226,62.1793,Jamaican Dollar
Average,1998-03-31,1999-03-31,0.016658,60.0323,Jamaican Dollar
Average,1997-12-31,1998-12-31,0.016841,59.378,Jamaican Dollar
Average,1997-03-31,1998-03-31,0.017537,57.0217,Jamaican Dollar
Average,1996-12-30,1997-12-30,0.017779,56.2463,Jamaican Dollar
Average,1996-03-31,1997-03-31,0.018088,55.2863,Jamaican Dollar
Average,1995-12-31,1996-12-31,0.017955,55.6957,Jamaican Dollar
Average,1995-03-31,1996-03-31,0.018382,54.4022,Jamaican Dollar
Average,1994-12-30,1995-12-30,0.01891,52.8818,Jamaican Dollar
Average,1994-03-31,1995-03-31,0.019842,50.3969,Jamaican Dollar
Average,1993-12-30,1994-12-30,0.020431,48.9444,Jamaican Dollar
Average,1993-03-30,1994-03-30,0.025493,39.227,Jamaican Dollar
Average,1992-12-31,1993-12-31,0.027572,36.2684,Jamaican Dollar
Average,1992-03-31,1993-03-31,0.0260536,38.382,Jamaican Dollar
Average,1991-12-31,1992-12-31,0.0256186,39.034,Jamaican Dollar
Average,1991-03-31,1992-03-31,0.0398739,25.079,Jamaican Dollar
Average,1990-12-31,1991-12-31,0.0505510,19.782,Jamaican Dollar
Average,1990-03-31,1991-03-31,0.071556,13.975,Jamaican Dollar
Average,1989-12-31,1990-12-31,0.079177,12.630,Jamaican Dollar
Average,1989-03-31,1990-03-31,0.099344,10.066,Jamaican Dollar
Average,1988-12-31,1989-12-31,0.109521,9.1307,Jamaican Dollar
