Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.8911,1.122151
2013-12-31,0.9031,1.107303
2013-03-31,0.893,1.119798
2012-12-31,0.8923,1.120644
2012-03-31,0.8785,1.138360
2011-12-31,0.8804,1.135860
2011-03-31,0.9097,1.0992
2010-12-31,0.9144,1.0936
2010-03-31,0.88668,1.1278
2009-12-31,0.90277,1.1077
2009-03-31,0.82244,1.2159
2008-12-31,0.76254,1.3114
2008-03-31,0.703136,1.4222
2007-12-31,0.705318,1.4178
2007-03-31,0.74504545,1.3422
2006-12-31,0.76534517,1.3066
2006-03-31,0.79064,1.2648
2005-12-31,0.7756147,1.2893
2005-03-31,0.7632423,1.3102
2004-12-31,0.7688168,1.3007
2004-03-31,08204792,1.2188
2003-12-31,0.8494733,1.1772
2003-03-31,0.9120759,1.0964
2002-12-31,0.938879,1.0651
2002-03-28,0.9828975821,1.0174
2001-12-31,0.9771350401,1.0234
2001-03-31,0.9512937595,1.0512
2000-12-29,0.9284189026,1.0771
2000-03-31,0.8732099197,1.1452
1999-12-30,0.8689607230,1.1508
1999-03-31,0.84955,1.1771
1998-12-31,0.847745,1.1796
1998-03-31,0.856898,1.167
1997-12-30,0.859845,1.163
1997-03-31,0.888257,1.1258
1996-12-31,0.903996,1.1062
1996-03-31,0.908265,1.101
1995-12-30,0.903179,1.1072
1995-03-31,0.922935,1.0835
1994-12-30,0.934667,1.0699
1994-03-30,0.956297,1.0457
1993-12-31,0.962464,1.039
1993-03-31,0.8760402,1.1415
1992-12-31,0.8435259,1.1855
1992-03-31,0.8564576,1.1676
1991-12-31,0.8486082,1.1784
1991-03-31,0.617475,1.6195
1990-12-31,0.850485,1.1758
1990-03-31,0.965810,1.0354
1989-12-31,1.048658,0.9536
