Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.2444,4.092365,Litas
Average,2012-12-31,2013-12-31,0.2458,4.068907,Litas
Average,2012-03-31,2013-03-31,0.236,4.236559,Litas
Average,2011-12-31,2012-12-31,0.2347,4.261118,Litas
Average,2011-03-31,2012-03-31,0.253,3.952473,Litas
Average,2010-12-31,2011-12-31,0.2514,3.978150,Litas
Average,2010-03-31,2011-03-31,0.2464,4.0586,Litas
Average,2009-12-31,2010-12-31,0.2487,4.0206,Litas
Average,2009-03-31,2010-03-31,0.25675,3.8949,Litas
Average,2008-12-31,2009-12-31,0.25778,3.8793,Litas
Average,2008-03-31,2009-03-31,0.24081,4.1526,Litas
Average,2007-12-31,2008-12-31,0.23128,4.3238,Litas
Average,2007-03-31,2008-03-31,0.205275,4.8715,Litas
Average,2006-12-31,2007-12-31,0.198694,5.0329,Litas
Average,2019-03-31,2020-03-31,0.196390,5.0919,Litas
Average,2019-12-31,2020-12-31,0.197718,5.0577,Litas
Average,2019-03-31,2020-03-31,0.197769,5.0564,Litas
Average,2019-12-31,2020-12-31,0.197914,5.0527,Litas
