Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0206,48.5412192
Average,2012-12-31,2013-12-31,0.0208,48.083773
Average,2012-03-31,2013-03-31,0.0207,48.207744
Average,2011-12-31,2012-12-31,0.021,47.713481
Average,2011-03-31,2012-03-31,0.0219,45.642373
Average,2010-12-31,2011-12-31,0.0217,46.046884
Average,2010-03-31,2011-03-31,0.0211,47.4584
Average,2009-12-31,2010-12-31,0.0211,47.4705
Average,2009-03-31,2010-03-31,0.020122,49.6959
Average,2008-12-31,2009-12-31,0.020043,49.8915
Average,2008-03-31,2009-03-31,0.019798,50.51
Average,2007-12-31,2008-12-31,0.019136,52.2565
Average,2007-03-31,2008-03-31,0.016695,59.8987
Average,2006-12-31,2007-12-31,0.016104,62.0963
Average,2006-03-31,2007-03-31,0.01655517,60.4041
Average,2005-12-31,2006-12-31,0.017256077,57.9506
Average,2005-03-31,2006-03-31,0.01874685,53.3423
Average,2004-12-31,2005-12-31,0.01602025,53.4296
Average,2004-03-31,2005-03-31,0.0191209,52.2987
Average,2003-12-31,2004-12-31,0.0197689,50.5845
Average,2003-03-31,2004-03-31,0.021498,46.5149
Average,2002-12-31,2003-12-31,0.02182,45.8304
Average,2002-03-31,2003-03-31,0.022021,45.412
Average,2001-12-31,2002-12-31,0.022182,45.0819
Average,2001-03-28,2002-03-28,0.0235393260,42.4821
Average,2000-12-31,2001-12-31,0.0238747815,41.8852
Average,2000-03-31,2001-03-31,0.0252075845,39.6706
Average,1999-12-29,2000-12-29,0.0251889803,39.6999
Average,1999-03-31,2000-03-31,0.0217490121,45.9791
Average,1998-12-30,1999-12-30,0.0217857330,45.9016
Average,1998-03-31,1999-03-31,0.024697,40.4902
Average,1997-12-31,1998-12-31,0.025168,39.7329
Average,1997-03-31,1998-03-31,0.028048,35.6534
Average,1996-12-30,1997-12-30,0.029067,34.4037
Average,1996-03-31,1997-03-31,0.031499,31.7472
Average,1995-12-31,1996-12-31,0.032532,30.7386
Average,1995-03-31,1996-03-31,0.035493,28.1749
Average,1994-12-30,1995-12-30,0.035694,28.016
Average,1994-03-31,1995-03-31,0.036157,27.6569
Average,1993-12-30,1994-12-30,0.036308,27.5425
Average,1993-03-30,1994-03-30,0.037133,26.9305
Average,1992-12-31,1993-12-31,0.037728,26.5057
Average,1992-03-31,1993-03-31,0.0371457,26.921
Average,1991-12-31,1992-12-31,0.0365283,27.376
Average,1991-03-31,1992-03-31,0.0364883,27.406
Average,1990-12-31,1991-12-31,0.0366770,27.265
Average,1990-03-31,1991-03-31,0.037243,26.851
Average,1989-12-31,1990-12-31,0.038314,26.100
Average,1989-03-31,1990-03-31,0.040855,24.477
Average,1988-12-31,1989-12-31,0.040654,24.598
