Average for year to,"Sterling value of currency unit 
        £","Currency units per £ 
        S."
2010-03-31,0.35059,2.8523
2009-12-31,0.35647,2.8053
2009-03-31,0.3265,3.0628
2008-12-31,0.30206,3.3106
2008-03-31,0.277693,3.6011
2007-12-31,0.27859,3.5895
2007-03-31,0.293884268,3.4027
2006-12-31,0.302260912,3.3084
2006-03-31,0.3136,3.1888
2005-12-31,0.30759766,3.251
2005-03-31,0.302554,3.3052
2004-12-31,0.30505476,3.2781
2004-03-31,0.329381,3.036
2003-12-31,0.34157672,2.9276
2003-03-31,0.362161,2.7612
2002-12-31,0.37235627,2.6856
2002-03-28,0.3919877700,2.5511
2001-12-31,0.3902439024,2.5625
2001-03-31,0.3813446211,2.6223
2000-12-29,0.3717472119,2.69
2000-03-31,0.3513086246,2.8465
1999-12-30,0.3500297525,2.8569
1999-03-31,0.33846,2.9546
1998-12-31,0.33655,2.9713
1998-03-31,0.341122,2.9315
1997-12-30,0.341262,2.9303
1997-03-31,0.352933,2.8334
1996-12-31,0.358976,2.7857
1996-03-31,0.355733,2.8111
1995-12-30,0.352684,2.8354
1995-03-31,0.360049,2.7774
1994-12-30,0.365791,2.7338
1994-03-30,0.371292,2.6933
1993-12-31,0.371927,2.6887
1993-03-31,0.379656,3.0491
1992-12-31,0.313038,3.1945
1992-03-31,0.3210272,3.1150
1991-12-31,0.3154375,3.1702
1991-03-31,0.305157,3.2770
1990-12-31,0.316456,3.1600
