Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.8436,1.185417,Euro
Average,2012-12-31,2013-12-31,0.8486,1.1783981,Euro
Average,2012-03-31,2013-03-31,0.8141,1.228351,Euro
Average,2011-12-31,2012-12-31,0.8107,1.233473,Euro
Average,2001-04-01,2002-02-27,0.2801983805,3.5689,Euro
Average,2002-01-01,2002-03-28,0.6148548942,1.6264,Euro
Average,2000-12-31,2001-12-31,0.2824220515,3.5408,Neth. Guilder
Spot,,2002-03-28,0.6126324818,1.6323,Euro
Spot,,2002-02-27,0.2767783006,3.613,Euro
Spot,,2001-12-31,0.2776158352,3.6021,Neth. Guilder
Average,2000-03-31,2001-03-31,0.2786291446,3.589,Neth. Guilder
Average,1999-12-29,2000-12-29,0.2763652443,3.6184,Neth. Guilder
Spot,,2001-03-30,0.2821670429,3.544,Neth. Guilder
Spot,,2000-12-29,0.2851927903,3.5064,Neth. Guilder
Average,1999-03-31,2000-03-31,0.2905625291,3.4416,Neth. Guilder
Average,1998-12-30,1999-12-30,0.2987839493,3.3469,Neth. Guilder
Spot,,2000-03-31,0.2721829069,3.674,Neth. Guilder
Spot,,1999-12-31,0.2822148219,3.5434,Neth. Guilder
Average,1998-03-31,1999-03-31,0.30828,3.2438,Neth. Guilder
Average,1997-12-31,1998-12-31,0.30438,3.2854,Neth. Guilder
Spot,,1999-03-31,0.3034717,3.2952,Neth. Guilder
Spot,,1998-12-31,0.3202665,3.1224,Neth. Guilder
Average,1997-03-31,1998-03-31,0.304925,3.2795,Neth. Guilder
Average,1996-12-30,1997-12-30,0.312969,3.1952,Neth. Guilder
Spot,,1998-03-31,0.28645,3.491,Neth. Guilder
Spot,,1997-12-31,0.2997961,3.3356,Neth. Guilder
Average,1996-03-31,1997-03-31,0.361807,2.7639,Neth. Guilder
Average,1995-12-31,1996-12-31,0.37967,2.6339,Neth. Guilder
Spot,,1997-03-31,0.324675,3.08,Neth. Guilder
Spot,,1996-12-31,0.3378264,2.9601,Neth. Guilder
Average,1995-03-31,1996-03-31,0.399122,2.5055,Neth. Guilder
Spot,,1996-03-31,0.3964163,2.5226,Neth. Guilder
Average,1994-12-30,1995-12-30,0.39496,2.5319,Neth. Guilder
Spot,,1995-12-30,0.4018,2.4888,Neth. Guilder
Average,1994-03-31,1995-03-31,0.36785,2.7185,Neth. Guilder
Spot,,1995-03-31,0.4013163,2.4918,Neth. Guilder
Average,1993-12-30,1994-12-30,0.359221,2.7838,Neth. Guilder
Spot,,1994-12-30,0.3683376,2.7149,Neth. Guilder
Average,1993-03-30,1994-03-30,0.350951,2.8494,Neth. Guilder
Spot,,1994-03-30,0.358256,2.7913,Neth. Guilder
Average,1992-12-31,1993-12-31,0.355973,2.8092,Neth. Guilder
Spot,,1993-12-31,0.347996,2.8736,Neth. Guilder
Average,1992-03-31,1993-03-31,0.3364963,2.9718,Neth. Guilder
Spot,,1993-03-31,0.3663003,2.73,Neth. Guilder
Average,1991-12-31,1992-12-31,0.3226639,3.0992,Neth. Guilder
Spot,,1992-12-31,0.3629764,2.755,Neth. Guilder
Average,1991-03-31,1992-03-31,0.3049338,3.2794,Neth. Guilder
Spot,,1992-03-31,0.3110419,3.2150,Neth. Guilder
Average,1990-12-31,1991-12-31,0.3034348,3.2956,Neth. Guilder
Spot,,1991-12-31,0.3127443,3.1975,Neth. Guilder
Average,1990-03-31,1991-03-31,0.305027,3.2784,Neth. Guilder
Spot,,1991-03-28,0.299177,3.3425,Neth. Guilder
Average,1989-12-31,1990-12-31,0.308699,3.2394,Neth. Guilder
Spot,,1990-12-31,0.307200,3.2550,Neth. Guilder
Average,1989-03-31,1990-03-31,0.304683,3.2821,Neth. Guilder
Spot,,1990-03-30,0.319234,3.1325,Neth. Guilder
Average,1988-12-31,1989-12-31,0.288376,3.4677,Neth. Guilder
Spot,,1989-12-29,0.324412,3.0825,Neth. Guilder
