Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.5175,1.932296
Average,2012-12-31,2013-12-31,0.5247,1.905811
Average,2012-03-31,2013-03-31,0.5137,1.946634
Average,2011-12-31,2012-12-31,0.5102,1.959825
Average,2011-03-31,2012-03-31,0.4999,2.000387
Average,2010-12-31,2011-12-31,0.4927,2.029523
Average,2010-03-31,2011-03-31,0.4705,2.1253
Average,2009-12-31,2010-12-31,0.4656,2.1475
Average,2009-03-31,2010-03-31,0.42307,2.3637
Average,2008-12-31,2009-12-31,0.40209,2.4870
Average,2008-03-31,2009-03-31,0.37636,2.657
Average,2007-12-31,2008-12-31,0.38304,2.6107
Average,2007-03-31,2008-03-31,0.378272,2.6436
Average,2006-12-31,2007-12-31,0.367715,2.7195
Average,2006-03-31,2007-03-31,0.34658441,2.8853
Average,2005-12-31,2006-12-31,0.35180299,2.8425
Average,2005-03-31,2006-03-31,0.38698193,2.5841
Average,2004-12-31,2005-12-31,0.387372,2.5815
Average,2004-03-31,2005-03-31,0.3657778,2.7339
Average,2003-12-31,2004-12-31,0.362437,2.7591
Average,2003-03-31,2004-03-31,0.3613108,2.7677
Average,2002-12-31,2003-12-31,0.3552524,2.8149
Average,2002-03-31,2003-03-31,0.3194276,3.1306
Average,2001-12-31,2002-12-31,0.3087087,3.2393
Average,2001-03-28,2002-03-28,0.2920816660,3.4237
Average,2000-12-31,2001-12-31,0.2916897588,3.4283
Average,2000-03-31,2001-03-31,0.2972563241,3.3641
Average,1999-12-29,2000-12-29,0.3004356317,3.3285
Average,1999-03-31,2000-03-31,0.3222064699,3.1036
Average,1998-12-30,1999-12-30,0.3272786778,3.0555
Average,1998-03-31,1999-03-31,0.31845,3.1402
Average,1997-12-31,1998-12-31,0.32314,3.0946
Average,1997-03-31,1998-03-31,0.38301,2.6109
Average,1996-12-30,1997-12-30,0.402787,2.4827
Average,1996-03-31,1997-03-31,0.437426,2.2861
Average,1995-12-31,1996-12-31,0.440567,2.2698
Average,1995-03-31,1996-03-31,0.42425,2.3571
Average,1994-12-30,1995-12-30,0.415489,2.4068
Average,1994-03-31,1995-03-31,0.393283,2.5427
Average,1993-12-30,1994-12-30,0.387552,2.5803
Average,1993-03-30,1994-03-30,0.366851,2.7259
Average,1992-12-31,1993-12-31,0.359157,2.7843
Average,1992-03-31,1993-03-31,0.3147623,3.177
Average,1991-12-31,1992-12-31,0.3050175,3.2785
Average,1991-03-31,1992-03-31,0.3253090,3.0740
Average,1990-12-31,1991-12-31,0.3271501,3.0567
Average,1990-03-31,1991-03-31,0.320195,3.1231
Average,1989-12-31,1990-12-31,0.334930,2.9857
Average,1989-03-31,1990-03-31,0.363769,2.7490
Average,1988-12-31,1989-12-31,0.365764,2.7340
