Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0039,254.236692
2013-12-31,0.004,248.796037
2013-03-31,0.004,250.418019
2012-12-31,0.004,251.436428
2012-03-31,0.004,250.839657
2011-12-31,0.004,249.169352
2011-03-31,0.0042,235.512
2010-12-31,0.0043,233.241
2010-03-31,0.0041738,239.591
2009-12-31,0.0042706,234.162
2009-03-31,0.0046529,214.921
2008-12-31,0.0045473,219.909
2008-03-31,0.00405,246.92
2007-12-31,0.003977,251.46
2007-03-31,0.00411556,242.9804
2006-12-31,0.00421993,236.971
2006-03-31,0.00425,235.493
2005-12-31,0.004137,241.7492
2005-03-31,0.0040526,246.7575
2004-12-31,0.0040593,246.3451
2004-03-31,0.004411,226.7154
2003-12-31,0.004634,215.939
2003-03-31,0.005144,194.3859
2002-12-31,0.005434,184.0362
2002-03-28,0.0060380421,165.6166
2001-12-31,0.0060261656,165.943
2001-03-31,0.0062484145,160.0406
2000-12-29,0.0062953422,158.8476
2000-03-31,0.0062946329,158.8655
1999-12-30,0.0075772615,131.9738
1999-03-31,0.024488,40.8369
1998-12-31,0.027544,36.3062
1998-03-31,0.027792,35.9815
1997-12-30,0.027853,35.9028
1997-03-31,0.028663,34.8876
1996-12-31,0.029099,34.3652
1996-03-31,0.029053,34.42
1995-12-30,0.02881,34.7101
1995-03-31,0.029296,34.1347
1994-12-30,0.029751,33.6127
1994-03-30,0.027255,36.691
1993-12-31,0.026895,37.1813
1993-03-31,0.0298284,33.525
1992-03-03 to 1992-12-31,0.0305763,32.705
1992-01-01 to 1992-03-02,0.0563126,17.758
1992-03-03 to 1992-03-31,0.0259713,38.504
1991-04-01 to 1992-03-02,0.0569865,17.548
1991-12-31,0.0568731,17.583
1991-03-31,0.061523,16.254
1990-12-31,0.070432,14.198
1990-03-31,0.081044,12.339
1989-12-31,0.084825,11.789
