Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Spot,,2014-03-31,0.1002,9.9813
Average,2013-03-31,2014-03-31,0.1054,9.485832
Spot,,2013-12-31,0.0995,10.0483
Average,2012-12-31,2013-12-31,0.1091,9.165418
Spot,,2013-03-31,0.1128,9.137515
Average,2012-03-31,2013-03-31,0.1094,9.256758
Spot,,2012-12-31,0.1105,9.0463
Average,2011-12-31,2012-12-31,0.1083,9.233155
Spot,,2012-03-31,0.1097,9.1137
Average,2011-03-31,2012-03-31,0.1115,8.964901
Spot,,2011-12-31,0.1078,9.2748
Average,2010-12-31,2011-12-31,0.1114,8.977276
Spot,,2011-03-31,0.1128,8.8671
Average,2010-03-31,2011-03-31,0.107,9.3501
Spot,,2010-12-31,0.1099,9.1003
Average,2009-12-31,2010-12-31,0.107,9.34405
Spot,,2010-03-31,0.11106,9.0038
Average,2009-03-31,2010-03-31,0.10381,9.6327
Spot,,2009-12-31,0.1072,9.3287
Average,2008-12-31,2009-12-31,0.10196,9.8078
Spot,,2009-03-31,0.10333,9.6781
Average,2008-03-31,2009-03-31,0.09834,10.1688
Spot,,2008-12-31,0.099331,10.0673
Average,2007-12-31,2008-12-31,0.09675,10.3359
Spot,,2008-03-31,0.099010,10.1000
Average,2007-03-31,2008-03-31,0.0884,11.3122
Spot,,2007-12-31,0.092518,10.8087
Average,2006-12-31,2007-12-31,0.085254,11.7296
Spot,,2007-03-30,0.08352614,11.9723
Average,2006-03-31,2007-03-31,0.0838202,11.9303
Spot,,2006-12-29,0.08206206,12.1859
Average,2005-12-31,2006-12-31,0.08467759,11.8095
Spot,,2006-03-31,0.087846,11.3835
Average,2005-03-31,2006-03-31,0.85559301,11.6878
Spot,,2005-12-30,0.086025,11.6245
Average,2004-12-31,2005-12-31,0.08641325,11.7178
Spot,,2005-03-31,0.083811,11.9316
Average,2004-03-31,2005-03-31,0.082347,12.1438
Spot,,2004-12-31,0.0859986,11.6281
Average,2003-12-31,2004-12-31,0.080991,12.347
Spot,,2004-03-31,0.079249,12.6185
Average,2003-03-31,2004-03-31,0.083964,11.9099
Spot,,2003-12-31,0.083967,11.9095
Average,2002-12-31,2003-12-31,0.086487,11.5624
Average,2002-03-31,2003-03-31,0.086153,11.6072
Average,2001-12-31,2002-12-31,0.083654,11.954
Spot,,2002-03-28,0.0795146426,12.5763
Average,2001-03-28,2002-03-28,0.0779241019,12.833
Spot,,2001-12-31,0.0766054589,13.0539
Average,2000-12-31,2001-12-31,0.0775235866,12.8993
Spot,,2001-03-30,0.0772200772,12.95
Average,2000-03-31,2001-03-31,0.0753948807,13.2635
Spot,,2000-12-29,0.0759122758,13.1731
Average,1999-12-29,2000-12-29,0.0750581701,13.323
Spot,,2000-03-31,0.0742770981,13.4631
Average,1999-03-31,2000-03-31,0.0781750809,12.7918
Spot,,1999-12-31,0.0771992126,12.9535
Average,1998-12-30,1999-12-30,0.0792430702,12.6194
Spot,,1999-03-31,0.0801507,12.4765
Average,1998-03-31,1999-03-31,0.079778,12.5348
Spot,,1998-12-31,0.078889,12.6761
Average,1997-12-31,1998-12-31,0.079925,12.5117
Spot,,1998-03-31,0.078325,12.7672
Average,1997-03-31,1998-03-31,0.083351,11.9974
Spot,,1997-12-31,0.0824388,12.1302
Average,1996-12-30,1997-12-30,0.086252,11.594
Spot,,1997-03-31,0.092303,10.8338
Average,1996-03-31,1997-03-31,0.096804,10.3301
Spot,,1996-12-31,0.0915139,10.9273
Average,1995-12-31,1996-12-31,0.09917,10.0835
Spot,,1996-03-31,0.1021502,9.7895
Average,1995-03-31,1996-03-31,0.101282,9.8734
Spot,,1995-12-30,0.1019461,9.8091
Average,1994-12-30,1995-12-30,0.100043,9.9957
Spot,,1995-03-31,0.1001221,9.9878
Average,1994-03-31,1995-03-31,0.094287,10.6059
Spot,,1994-12-30,0.0944974,10.5823
Average,1993-12-30,1994-12-30,0.092604,10.7987
Spot,,1994-03-30,0.092484,10.8127
Average,1993-03-30,1994-03-30,0.092113,10.8562
Spot,,1993-12-31,0.089871,11.1271
Average,1992-12-31,1993-12-31,0.093873,10.6527
Spot,,1993-03-31,0.0967585,10.335
Average,1992-03-31,1993-03-31,0.0935278,10.692
Spot,,1992-12-31,0.0954836,10.473
Average,1991-12-31,1992-12-31,0.0914578,10.934
Spot,,1992-03-31,0.0891662,11.215
Average,1991-03-31,1992-03-31,0.0880979,11.351
Spot,,1991-12-31,0.0896057,11.160
Average,1990-12-31,1991-12-31,0.0877654,11.394
Spot,,1991-03-28,0.086543,11.555
Average,1990-03-31,1991-03-31,0.088308,11.324
Spot,,1990-12-31,0.088121,11.348
Average,1989-12-31,1990-12-31,0.089791,11.137
Spot,,1990-03-30,0.092481,10.813
Average,1989-03-31,1990-03-31,0.091000,10.989
Spot,,1989-12-29,0.094029,10.635
Average,1988-12-31,1989-12-31,0.088472,11.303
