Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,1.6381,0.610471,Rial Omani
Average,2012-12-31,2013-12-31,1.661,0.602060,Rial Omani
Average,2012-03-31,2013-03-31,1.6429,0.608694,Rial Omani
Average,2011-12-31,2012-12-31,1.6416,0.609144,Rial Omani
Average,2011-03-31,2012-03-31,1.6167,0.618560,Rial Omani
Average,2010-12-31,2011-12-31,1.6199,0.617333,Rial Omani
Average,2010-03-31,2011-03-31,1.6783,0.5958,Rial Omani
Average,2009-12-31,2010-12-31,1.6873,0.5926,Rial Omani
Average,2009-03-31,2010-03-31,1.63079,0.6132,Rial Omani
Average,2008-12-31,2009-12-31,1.66058,0.6022,Rial Omani
Average,2008-03-31,2009-03-31,1.51286,0.661,Rial Omani
Average,2007-12-31,2008-12-31,1.40272,0.7129,Rial Omani
Average,2007-03-31,2008-03-31,1.294331,0.7726,Rial Omani
Average,2006-12-31,2007-12-31,1.298364,0.7702,Rial Omani
Average,2005-12-31,2006-12-31,1.371178,0.7293,Rial Omani
Average,2006-03-31,2007-03-31,1.408649,0.7099,Rial Omani
Average,2005-03-31,2006-03-31,1.4549687,0.6873,Rial Omani
Average,2004-12-31,2005-12-31,1.427348,0.7006,Rial Omani
Average,2004-03-31,2005-03-31,1.4050864,0.7117,Rial Omani
Average,2003-12-31,2004-12-31,1.4156285,0.7064,Rial Omani
Average,2003-03-31,2004-03-31,1.5316,0.6529,Rial Omani
Average,2002-12-31,2003-12-31,1.5873,0.63,Rial Omani
Average,2002-03-31,2003-03-31,1.677852,0.596,Rial Omani
Average,2001-12-31,2002-12-31,1.726519,0.5792,Rial Omani
Average,2001-03-28,2002-03-28,1.7924359204,0.5579,Rial Omani
Average,2000-12-31,2001-12-31,1.7825311943,0.561,Rial Omani
Average,2000-03-31,2001-03-31,1.7553098122,0.5697,Rial Omani
Average,1999-12-29,2000-12-29,1.7132088402,0.5837,Rial Omani
Average,1999-03-31,2000-03-31,1.6123831022,0.6202,Rial Omani
Average,1998-12-30,1999-12-30,1.6056518947,0.6228,Rial Omani
Average,1998-03-31,1999-03-31,1.56961,0.6371,Rial Omani
Average,1997-12-31,1998-12-31,1.56568,0.6387,Rial Omani
Average,1997-03-31,1998-03-31,1.579779,0.633,Rial Omani
Average,1996-12-30,1997-12-30,1.584535,0.6311,Rial Omani
Average,1996-03-31,1997-03-31,1.636661,0.611,Rial Omani
Average,1995-12-31,1996-12-31,1.66251,0.6015,Rial Omani
Average,1995-03-31,1996-03-31,1.6580998,0.6031,Rial Omani
Average,1994-12-30,1995-12-30,1.644196,0.6082,Rial Omani
Average,1994-03-31,1995-03-31,1.670844,0.5985,Rial Omani
Average,1993-12-30,1994-12-30,1.696065,0.5896,Rial Omani
Average,1993-03-30,1994-03-30,1.6072,0.6222,Rial Omani
Average,1992-12-31,1993-12-31,1.609269,0.6214,Rial Omani
Average,1992-03-31,1993-03-31,1.5339776,0.6519,Rial Omani
Average,1991-12-31,1992-12-31,1.4705882,0.68,Rial Omani
Average,1991-03-31,1992-03-31,1.5051173,0.6644,Rial Omani
Average,1990-12-31,1991-12-31,1.4705882,0.6800,Rial Omani
Average,1990-03-31,1991-03-31,1.389082,0.7199,Rial Omani
Average,1989-12-31,1990-12-31,1.454969,0.6873,Rial Omani
Average,1989-03-31,1990-03-31,1.596679,0.6263,Rial Omani
Average,1988-12-31,1989-12-31,1.588058,0.6297,Rial Omani
