Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0001,6995.278653,Guarani
Average,2012-12-31,2013-12-31,0.0001,6724.010943,Guarani
Average,2012-03-31,2013-03-31,0.0001,6870.789038,Guarani
Average,2011-12-31,2012-12-31,0.0001,7021.556938,Guarani
Average,2011-03-31,2012-03-31,0.0002,6565.489473,Guarani
Average,2010-12-31,2011-12-31,0.0001,6744.826274,Guarani
Average,2010-03-31,2011-03-31,0.0001,7336.74,Guarani
Average,2009-12-31,2010-12-31,0.0001,7356.67,Guarani
Average,2009-03-31,2010-03-31,0.00012855,7779.04,Guarani
Average,2008-12-31,2009-12-31,0.00012848,7783.09,Guarani
Average,2008-03-31,2009-03-31,0.00013232,7557.59,Guarani
Average,2007-12-31,2008-12-31,0.00012468,8020.51,Guarani
Average,2007-03-31,2008-03-31,0.0001018,9823.32,Guarani
Average,2006-12-31,2007-12-31,0.00009944,10055.95,Guarani
Average,2006-03-31,2007-03-31,0.0000975514,10251.0069,Guarani
Average,2005-12-31,2006-12-31,0.0000964024,10373.1821,Guarani
Average,2005-03-31,2006-03-31,0.0000916,10913.66,Guarani
Average,2004-12-31,2005-12-31,0.0000889,11239.12,Guarani
Average,2004-03-31,2005-03-31,0.0000897,11145.829,Guarani
Average,2003-12-31,2004-12-31,0.000953257,10949.034,Guarani
Average,2003-03-31,2004-03-31,0.0001,10556.6188,Guarani
Average,2002-12-31,2003-12-31,0.0001,10568.085,Guarani
Average,2002-03-31,2003-03-31,0.0001025,9756.686,Guarani
Average,2001-12-31,2002-12-31,0.0001151,8691.2127,Guarani
Average,2001-03-28,2002-03-28,0.0001582576,6318.8118,Guarani
Average,2000-12-31,2001-12-31,0.0001688413,5922.722,Guarani
Average,2000-03-31,2001-03-31,0.0001904428,5250.9205,Guarani
Average,1999-12-29,2000-12-29,0.0001890693,5289.0655,Guarani
Average,1999-03-31,2000-03-31,0.0001906971,5243.9173,Guarani
Average,1998-12-30,1999-12-30,0.0001982384,5044.431,Guarani
Average,1998-03-31,1999-03-31,0.00021505,4650.0563,Guarani
Average,1997-12-31,1998-12-31,0.00022281,4488.0871,Guarani
Average,1997-03-31,1998-03-31,0.0002703,3700.0241,Guarani
Average,1996-12-30,1997-12-30,0.0002817,3549.4278,Guarani
Average,1996-03-31,1997-03-31,0.000303,3294.955,Guarani
Average,1995-12-31,1996-12-31,0.000313,3197.293,Guarani
Average,1995-03-31,1996-03-31,0.0003234,3091.8354,Guarani
Average,1994-12-30,1995-12-30,0.0003229,3096.8052,Guarani
Average,1994-03-31,1995-03-31,0.000343,2917.804,Guarani
Average,1993-12-30,1994-12-30,0.000355,2815.394,Guarani
Average,1993-03-30,1994-03-30,0.00039,2566.936,Guarani
Average,1992-12-31,1993-12-31,0.000398,2510.55,Guarani
Average,1992-03-31,1993-03-31,0.000385,2597.3,Guarani
Average,1991-12-31,1992-12-31,0.0003842,2602.6,Guarani
Average,1991-03-31,1992-03-31,0.0004063,2461.2,Guarani
Average,1990-12-31,1991-12-31,0.0004297,2327,Guarani
Average,1990-03-31,1991-03-31,0.000426,2346,Guarani
Average,1989-12-31,1990-12-31,0.000458,2182,Guarani
Average,1989-03-31,1990-03-31,0.000506,1976,Guarani
Average,1989-04-01,1989-12-31,0.000534,1871,Guarani
Average,1989-01-01,1989-03-31,0.001600,625.03,Guarani
