Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0145,68.755323
2013-12-31,0.0151,66.235656
2013-03-31,0.0152,65.911836
2012-12-31,0.0149,66.912084
2012-03-31,0.0145,69.168153
2011-12-31,0.0144,69.410809
2011-03-31,0.0144,69.2370
2010-12-31,0.0143,69.7964
2010-03-31,0.013299,75.1918
2009-12-31,0.013417,74.5322
2009-03-31,0.01267,78.9259
2008-12-31,0.012199,81.9749
2008-03-31,0.011275,88.695
2007-12-31,0.010851,92.1586
2007-03-31,0.01046988,95.5121
2006-12-31,0.01058191,94.5009
2006-03-31,0.010325021,96.8521
2005-12-31,0.009992226,100.0778
2005-03-31,0.0097014,103.0777
2004-12-31,0.0097176,102.9065
2004-03-31,0.0108,92.8336
2003-12-31,0.0113,88.727
2003-03-31,0.01233,81.0754
2002-12-31,0.01287,77.7051
2002-03-28,0.0135667539,73.7096
2001-12-31,0.0136381738,73.3236
2001-03-31,0.0145886582,68.5464
2000-12-29,0.0149267990,66.9936
2000-03-31,0.0156634243,63.843
1999-12-30,0.0161037338,62.0974
1999-03-31,65.6731,0.015227
1998-12-31,67.8068,0.014748
1998-03-31,0.018296,54.6569
1997-12-30,0.020549,48.6631
1997-03-31,0.024007,41.6537
1996-12-31,0.024424,40.9431
1996-03-31,0.024588,40.67
1995-12-30,0.024619,40.6197
1995-03-31,0.024934,40.1052
1994-12-30,0.024727,40.4423
1994-03-30,0.02464,40.5838
1993-12-31,0.025339,39.4646
1993-03-31,0.0241761,41.363
1992-12-31,0.0231219,43.249
1992-03-31,0.0234741,42.600
1991-12-31,0.0214054,46.717
1991-03-31,0.020929,47.781
1990-12-31,0.023823,41.977
1990-03-31,0.028727,34.811
1989-12-31,0.029095,34.370
