Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.1682,5.945146
Average,2012-12-31,2013-12-31,0.1706,5.862673
Average,2012-03-31,2013-03-31,0.1686,5.929651
Average,2011-12-31,2012-12-31,0.1685,5.936051
Average,2011-03-31,2012-03-31,0.1663,6.011490
Average,2010-12-31,2011-12-31,0.1663,6.014736
Average,2010-03-31,2011-03-31,0.1715,5.8298
Average,2009-12-31,2010-12-31,0.1724,5.7997
Average,2009-03-31,2010-03-31,0.16743,5.9728
Average,2008-12-31,2009-12-31,0.17048,5.8657
Average,2008-03-31,2009-03-31,0.15526,6.4408
Average,2007-12-31,2008-12-31,0.14396,6.9462
Average,2007-03-31,2008-03-31,0.132949,7.5217
Average,2006-12-31,2007-12-31,0.133364,7.4983
Average,2006-03-31,2007-03-31,0.140772,7.1037
Average,2005-12-31,2006-12-31,0.144611,6.9151
Average,2005-03-31,2006-03-31,0.14937859,6.6944
Average,2004-12-31,2005-12-31,0.146548,6.8237
Average,2004-03-31,2005-03-31,0.1442543,6.9322
Average,2003-12-31,2004-12-31,0.1453193,6.8814
Average,2003-03-31,2004-03-31,0.1573,6.3578
Average,2002-12-31,2003-12-31,0.1630,6.1359
Average,2002-03-31,2003-03-31,0.17227,5.805
Average,2001-12-31,2002-12-31,0.17727,5.641
Average,2001-03-28,2002-03-28,0.1860880569,5.3738
Average,2000-12-31,2001-12-31,0.1850686605,5.4034
Average,2000-03-31,2001-03-31,0.1802061558,5.5492
Average,1999-12-29,2000-12-29,0.1758581880,5.6864
Average,1999-03-31,2000-03-31,0.1655300271,6.0412
Average,1998-12-30,1999-12-30,0.1648179586,6.0673
Average,1998-03-31,1999-03-31,0.161111,6.2069
Average,1997-12-31,1998-12-31,0.16071,6.2222
Average,1997-03-31,1998-03-31,0.162172,6.1663
Average,1996-12-30,1997-12-30,0.162647,6.1483
Average,1996-03-31,1997-03-31,0.168036,5.9511
Average,1995-12-31,1996-12-31,0.170695,5.8584
Average,1995-03-31,1996-03-31,0.170224,5.8746
Average,1994-12-30,1995-12-30,0.168802,5.9241
Average,1994-03-31,1995-03-31,0.171532,5.8298
Average,1993-12-30,1994-12-30,0.174131,5.7428
Average,1993-03-30,1994-03-30,0.177664,5.6286
Average,1992-12-31,1993-12-31,0.17785,5.6227
Average,1992-03-31,1993-03-31,0.1574852,6.3498
Average,1991-12-31,1992-12-31,0.1510186,6.6217
Average,1991-03-31,1992-03-31,0.1545833,6.469
Average,1990-12-31,1991-12-31,0.1508295,6.6300
Average,1990-03-31,1991-03-31,0.142552,7.0150
Average,1989-12-31,1990-12-31,0.149341,6.6961
Average,1989-03-31,1990-03-31,0.164037,6.0962
Average,1988-12-31,1989-12-31,0.163353,6.1217
