Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.0878,11.395278
2013-12-31,0.0895,11.177784
2013-03-31,0.0892,11.209030
2012-12-31,0.0891,11.224248
2012-03-31,0.0832,12.0155473
2011-12-31,0.0825,12.114521
2011-03-31,0.0821,12.1765
2010-12-31,0.0821,12.1738
2010-03-31,0.078589,12.7244
2009-12-31,0.080204,12.4682
2009-03-31,0.075732,13.2045
2008-12-31,0.070717,14.1409
2008-03-31,0.06809,14.6865
2007-12-31,0.068923,14.509
2007-03-31,0.07186541,13.9149
2006-12-31,0.073545635,13.597
2006-03-31,0.07611,13.1391
2005-12-31,0.07498894,13.3353
2005-03-31,0.073412,13.6218
2004-12-31,0.07349969,13.6055
2004-03-31,0.078283,12.7742
2003-12-31,0.08075196,12.3836
2003-03-31,0.088,11.3636
2002-12-31,0.09531707,10.4913
2002-03-28,0.1252128619,7.9864
2001-12-31,0.1296546001,7.7128
2001-03-31,0.1321859592,7.5651
2000-12-29,0.1297370231,7.7079
2000-03-31,0.1247380501,8.0168
1999-12-30,0.1258748301,7.9444
1999-03-31,0.12589,7.9434
1998-12-31,0.126188,7.9247
1998-03-31,0.155147,6.4455
1997-12-30,0.1666444,6.0008
1997-03-31,0.177563,5.6318
1996-12-31,0.182256,5.4868
1996-03-31,0.192905,5.1839
1995-12-30,0.193712,5.1623
1995-03-31,0.196959,5.0772
1994-12-30,0.20139,4.9655
1994-03-30,0.208086,4.8057
1993-12-31,0.210455,4.7516
1993-03-31,0.1977026,5.0581
1992-12-31,0.1929341,5.1831
1992-03-31,0.2085940,4.7940
1991-12-31,0.2096655,4.7695
1991-03-31,0.213279,4.6887
1990-12-31,0.224780,4.4488
