Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.0878,11.395278,Solomon Islands Dollar
Average,2012-12-31,2013-12-31,0.0895,11.177784,Solomon Islands Dollar
Average,2012-03-31,2013-03-31,0.0892,11.209030,Solomon Islands Dollar
Average,2011-12-31,2012-12-31,0.0891,11.224248,Solomon Islands Dollar
Average,2011-03-31,2012-03-31,0.0832,12.0155473,Solomon Islands Dollar
Average,2010-12-31,2011-12-31,0.0825,12.114521,Solomon Islands Dollar
Average,2010-03-31,2011-03-31,0.0821,12.1765,Solomon Islands Dollar
Average,2009-12-31,2010-12-31,0.0821,12.1738,Solomon Islands Dollar
Average,2009-03-31,2010-03-31,0.078589,12.7244,Solomon Islands Dollar
Average,2008-12-31,2009-12-31,0.080204,12.4682,Solomon Islands Dollar
Average,2008-03-31,2009-03-31,0.075732,13.2045,Solomon Islands Dollar
Average,2007-12-31,2008-12-31,0.070717,14.1409,Solomon Islands Dollar
Average,2007-03-31,2008-03-31,0.06809,14.6865,Solomon Islands Dollar
Average,2006-12-31,2007-12-31,0.068923,14.509,Solomon Islands Dollar
Average,2006-03-31,2007-03-31,0.07186541,13.9149,Solomon Islands Dollar
Average,2005-12-31,2006-12-31,0.073545635,13.597,Solomon Islands Dollar
Average,2005-03-31,2006-03-31,0.07611,13.1391,Solomon Islands Dollar
Average,2004-12-31,2005-12-31,0.07498894,13.3353,Solomon Islands Dollar
Average,2004-03-31,2005-03-31,0.073412,13.6218,Solomon Islands Dollar
Average,2003-12-31,2004-12-31,0.07349969,13.6055,Solomon Islands Dollar
Average,2003-03-31,2004-03-31,0.078283,12.7742,Solomon Islands Dollar
Average,2002-12-31,2003-12-31,0.08075196,12.3836,Solomon Islands Dollar
Average,2002-03-31,2003-03-31,0.088,11.3636,Solomon Islands Dollar
Average,2001-12-31,2002-12-31,0.09531707,10.4913,Solomon Islands Dollar
Average,2001-03-28,2002-03-28,0.1252128619,7.9864,Solomon Islands Dollar
Average,2000-12-31,2001-12-31,0.1296546001,7.7128,Solomon Islands Dollar
Average,2000-03-31,2001-03-31,0.1321859592,7.5651,Solomon Islands Dollar
Average,1999-12-29,2000-12-29,0.1297370231,7.7079,Solomon Islands Dollar
Average,1999-03-31,2000-03-31,0.1247380501,8.0168,Solomon Islands Dollar
Average,1998-12-30,1999-12-30,0.1258748301,7.9444,Solomon Islands Dollar
Average,1998-03-31,1999-03-31,0.12589,7.9434,Solomon Islands Dollar
Average,1997-12-31,1998-12-31,0.126188,7.9247,Solomon Islands Dollar
Average,1997-03-31,1998-03-31,0.155147,6.4455,Solomon Islands Dollar
Average,1996-12-30,1997-12-30,0.1666444,6.0008,Solomon Islands Dollar
Average,1996-03-31,1997-03-31,0.177563,5.6318,Solomon Islands Dollar
Average,1995-12-31,1996-12-31,0.182256,5.4868,Solomon Islands Dollar
Average,1995-03-31,1996-03-31,0.192905,5.1839,Solomon Islands Dollar
Average,1994-12-30,1995-12-30,0.193712,5.1623,Solomon Islands Dollar
Average,1994-03-31,1995-03-31,0.196959,5.0772,Solomon Islands Dollar
Average,1993-12-30,1994-12-30,0.20139,4.9655,Solomon Islands Dollar
Average,1993-03-30,1994-03-30,0.208086,4.8057,Solomon Islands Dollar
Average,1992-12-31,1993-12-31,0.210455,4.7516,Solomon Islands Dollar
Average,1992-03-31,1993-03-31,0.1977026,5.0581,Solomon Islands Dollar
Average,1991-12-31,1992-12-31,0.1929341,5.1831,Solomon Islands Dollar
Average,1991-03-31,1992-03-31,0.2085940,4.7940,Solomon Islands Dollar
Average,1990-12-31,1991-12-31,0.2096655,4.7695,Solomon Islands Dollar
Average,1990-03-31,1991-03-31,0.213279,4.6887,Solomon Islands Dollar
Average,1989-12-31,1990-12-31,0.224780,4.4488,Solomon Islands Dollar
