Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.0006,1729.588269
Average,2012-12-31,2013-12-31,0.0006,1710.245094
Average,2012-03-31,2013-03-31,0.0006,1762.881346
Average,2011-12-31,2012-12-31,0.0006,1785.194230
Average,2004-03-31,2005-03-31,0.000493,2029.15
Average,2003-12-31,2004-12-31,0.0004798,2084.2033
Average,2003-03-31,2004-03-31,0.000496,2017.287
Average,2002-12-31,2003-12-31,0.00050946,1962.85
Average,2002-03-31,2003-03-31,0.000531,1884.351
Average,2001-12-31,2002-12-31,0.00053327,1875.2217
Average,2001-03-28,2002-03-28,0.0005350329,1869.044
Average,2000-12-31,2001-12-31,0.0005356409,1866.9225
Average,2000-03-31,2001-03-31,0.0005737811,1742.825
Average,1999-12-29,2000-12-29,0.0005803468,1723.1075
Average,1999-03-31,2000-03-31,0.0005330939,1875.842
Average,1998-12-30,1999-12-30,0.0005219393,1915.9317
Average,1998-03-31,1999-03-31,0.00046862,2133.946
Average,1997-12-31,1998-12-31,0.00044058,2269.7583
Average,1997-03-31,1998-03-31,0.000547,1829.133
Average,1996-12-30,1997-12-30,0.000661,1512.7625
Average,1996-03-31,1997-03-31,0.000769,1300.689
Average,1995-12-31,1996-12-31,0.000801,1248.863
Average,1995-03-31,1996-03-31,0.000827,1209.596
Average,1994-12-30,1995-12-30,0.000818,1222.012
Average,1994-03-31,1995-03-31,0.000807,1239.093
Average,1993-12-30,1994-12-30,0.000814,1227.752
Average,1993-03-30,1994-03-30,0.000824,1213.703
Average,1992-12-31,1993-12-31,0.000829,1206.129
Average,1992-03-31,1993-03-31,0.0007472,1338.3
Average,1991-12-31,1992-12-31,0.0007209,1387.1
Average,1991-03-31,1992-03-31,0.0007757,1289
Average,1990-12-31,1991-12-31,0.0007726,1294.3
Average,1990-03-31,1991-03-31,0.000763,1310
Average,1989-12-31,1990-12-31,0.000802,1247
