Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.8436,1.185417,Peseta
Average,2012-12-31,2013-12-31,0.8486,1.178398,Peseta
Average,2002-01-01,2002-03-28,0.6148548942,1.6264 (Euro),Peseta
Average,2001-04-01,2002-02-27,0.0037108065,269.4832,Peseta
Average,2000-12-31,2001-12-31,0.0037363078,267.6439,Peseta
Spot,,2002-03-28,0.6126324818,1.6323 (Euro),Peseta
Spot,,2002-02-27,0.0036658504,272.788,Peseta
Spot,,2001-12-31,0.0036769302,271.966,Peseta
Average,2000-03-31,2001-03-31,0.0036864851,271.2611,Peseta
Average,1999-12-29,2000-12-29,0.0036603368,273.1989,Peseta
Spot,,2001-03-30,0.0037371722,267.582,Peseta
Spot,,2000-12-29,0.0037773480,264.736,Peseta
Average,1999-03-31,2000-03-31,0.0038482911,259.8556,Peseta
Average,1998-12-30,1999-12-30,0.0039573101,252.6969,Peseta
Spot,,2000-03-31,0.0036050196,277.391,Peseta
Spot,,1999-12-31,0.0037378147,267.536,Peseta
Average,1998-03-31,1999-03-31,0.00408905,244.5556,Peseta
Average,1997-12-31,1998-12-31,0.00404412,247.4537,Peseta
Spot,,1999-03-31,0.0040194,248.793,Peseta
Spot,,1998-12-31,0.0042419,235.746,Peseta
Average,1997-03-31,1998-03-31,0.004063,246.1423,Peseta
Average,1996-12-30,1997-12-30,0.00417,239.785,Peseta
Spot,,1998-03-31,0.003803,262.93,Peseta
Spot,,1997-12-31,0.0039874,250.784,Peseta
Average,1996-03-31,1997-03-31,0.004817,207.5908,Peseta
Average,1995-12-31,1996-12-31,0.00505,197.843,Peseta
Spot,,1997-03-31,0.004295,232.786,Peseta
Spot,,1996-12-31,0.0044924,222.597,Peseta
Average,1995-03-31,1996-03-31,0.005197,192.4298,Peseta
Spot,,1996-03-31,0.0052773,189.469,Peseta
Average,1994-12-30,1995-12-30,0.005084,196.7029,Peseta
Spot,,1995-12-30,0.0053091,188.355,Peseta
Average,1994-03-31,1995-03-31,0.0049,204.0612,Peseta
Spot,,1995-03-31,0.0048726,205.229,Peseta
Average,1993-12-30,1994-12-30,0.00488,204.9074,Peseta
Spot,,1994-12-30,0.0048559,205.935,Peseta
Average,1993-03-30,1994-03-30,0.004988,200.4992,Peseta
Spot,,1994-03-30,0.004927,202.949,Peseta
Average,1992-12-31,1993-12-31,0.005234,191.0437,Peseta
Spot,,1993-12-31,0.004729,211.458,Peseta
Average,1992-03-31,1993-03-31,0.0056309,177.59,Peseta
Spot,,1993-03-31,0.005777,173.1,Peseta
Average,1991-12-31,1992-12-31,0.0055635,179.74,Peseta
Spot,,1992-12-31,0.0057553,173.75,Peseta
Average,1991-03-31,1992-03-31,0.0054770,182.58,Peseta
Spot,,1992-03-31,0.0055417,180.45,Peseta
Average,1990-12-31,1991-12-31,0.0054638,183.02,Peseta
Spot,,1991-12-31,0.0055355,180.65,Peseta
Average,1990-03-31,1991-03-31,0.005501,181.80,Peseta
Spot,,1991-03-28,0.005466,182.95,Peseta
Average,1989-12-31,1990-12-31,0.005524,181.04,Peseta
Spot,,1990-12-31,0.005444,183.70,Peseta
Average,1989-03-31,1990-03-31,0.005381,185.85,Peseta
Spot,,1990-03-30,0.005620,177.95,Peseta
Average,1988-12-31,1989-12-31,0.005162,193.72,Peseta
Spot,,1989-12-29,0.005682,176.00,Peseta
