Average for year to,Sterling value of currency unit - £,Currency units per £1
2014-03-31,0.3857,2.593001
2013-12-31,0.3946,2.534460
2013-03-31,0.4016,2.490180
2012-12-31,0.4037,2.476826
2012-03-31,0.4445,2.249884
2011-12-31,0.4437,2.253631
2011-03-31,0.4464,2.2401
2010-12-31,0.4529,2.2082
2010-03-31,0.46849,2.1345
2009-12-31,0.47409,2.1093
2009-03-31,0.45821,2.1824
2008-12-31,0.44103,2.2674
2008-03-31,0.398279,2.5108
2007-12-31,0.390778,2.5590
2007-03-31,0.400032,2.4998
2006-12-31,0.40804668,2.4507
2006-03-31,0.422726,2.3656
2005-12-31,0.424214,2.3573
2005-03-31,0.4342351,2.3029
2004-12-31,0.4379434,2.2834
2004-03-31,0.46744,2.1393
2003-12-31,0.47529,2.104
2003-03-31,0.46878,2.1332
2002-12-31,0.4688,2.1331
2002-03-28,0.4781486086,2.0914
2001-12-31,0.4832085045,2.0695
2001-03-31,0.4837929366,2.067
2000-12-29,0.4821135860,2.0742
2000-03-31,0.5078978110,1.9689
1999-12-30,0.5205351101,1.9211
1999-03-31,0.53422,1.8719
1998-12-31,0.52969,1.8879
1998-03-31,0.539374,1.854
1997-12-30,0.554262,1.8042
1997-03-31,0.632111,1.582
1996-12-31,0.657808,1.5202
1996-03-31,0.677323,1.4764
1995-12-30,0.670601,1.4912
1995-03-31,0.64973,1.5391
1994-12-30,0.647082,1.5454
1994-03-30,0.651678,1.5345
1993-12-31,0.661594,1.5115
1993-03-31,0.6547073,1.5274
1992-12-31,0.6389775,1.565
1992-03-31,0.6131959,1.6308
1991-12-31,0.6119202,1.6342
1991-03-31,0.621581,1.6088
1990-12-31,0.658068,1.5196
1990-03-31,0.659196,1.5170
1989-12-31,0.641972,1.5577
