Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0.3149,3.175461,Turkish Lira
Average,2012-12-31,2013-12-31,0.3379,2.959177,Turkish Lira
Average,2012-03-31,2013-03-31,0.352,2.840913,Turkish Lira
Average,2011-12-31,2012-12-31,0.3509,2.850042,Turkish Lira
Average,2011-03-31,2012-03-31,0.3657,2.734268,Turkish Lira
Average,2010-12-31,2011-12-31,0.3734,2.677966,Turkish Lira
Average,2010-03-31,2011-03-31,0.4229,2.3646,Turkish Lira
Average,2009-12-31,2010-12-31,0.4299,2.3258,Turkish Lira
Average,2009-03-31,2010-03-31,0.41391,2.4160,Turkish Lira
Average,2008-12-31,2009-12-31,0.41213,2.4264,Turkish Lira
Average,2008-03-31,2009-03-31,0.41734,2.3961,Turkish Lira
Average,2007-12-31,2008-12-31,0.41728,2.3965,Turkish Lira
Average,2007-03-31,2008-03-31,0.397362,2.5166,Turkish Lira
Average,2006-12-31,2007-12-31,0.383627,2.6067,Turkish Lira
Average,2006-03-31,2007-03-31,0.363029,2.7546,Turkish Lira
Average,2005-12-31,2006-12-31,0.3774724,2.6492,Turkish Lira
Average,2005-03-31,2006-03-31,0.415489,2.4068,Turkish Lira
Average,2004-12-31,2005-12-31,0.408447,2.4483,Turkish Lira
Average,2004-03-31,2005-03-31,"01/04/04 - 31/12/04 = 0.00000037418
          01/01/05 - 31/03/05 = 0.4000320","1/4/04 - 31/12/04 = 2672509.6
          01/01/05 - 31/03/05 = 2.4998",Turkish Lira
Average,2003-12-31,2004-12-31,0.00000038248,2614460.3,Turkish Lira
Average,2003-03-31,2004-03-31,0.000000415,2405776.37,Turkish Lira
Average,2002-12-31,2003-12-31,0.00000040701,2456924.1,Turkish Lira
Average,2002-03-31,2003-03-31,0.00000040584,2464005.116,Turkish Lira
Average,2001-12-31,2002-12-31,0.00000043715,2287542.21,Turkish Lira
Average,2001-03-28,2002-03-28,0.0000005084,1966915.2,Turkish Lira
Average,2000-12-31,2001-12-31,0.0000005623,1778556.77,Turkish Lira
Average,2000-03-31,2001-03-31,0.0000009856,1014631.97,Turkish Lira
Average,1999-12-29,2000-12-29,0.0000010576,945505.394,Turkish Lira
Average,1999-03-31,2000-03-31,0.0000013029,767547.854,Turkish Lira
Average,1998-12-30,1999-12-30,0.0000014652,682515.902,Turkish Lira
Average,1998-03-31,1999-03-31,0.0000020663,483958.502,Turkish Lira
Average,1997-12-31,1998-12-31,0.0000022930,436113.253,Turkish Lira
Average,1997-03-31,1998-03-31,0.0000033826,295626.61,Turkish Lira
Average,1996-12-30,1997-12-30,0.0000039756,251532.048,Turkish Lira
Average,1996-03-31,1997-03-31,0.00000654,152836.6,Turkish Lira
Average,1995-12-31,1996-12-31,0.00000776,128783.1,Turkish Lira
Average,1995-03-31,1996-03-31,0.0000123,182800,Turkish Lira
Average,1994-12-30,1995-12-30,0.0000138,72700.49,Turkish Lira
Average,1994-03-31,1995-03-31,0.0000179,55653.85,Turkish Lira
Average,1994-01-05,1994-12-30,0.000019,52490.41,Turkish Lira
Average,1994-01-01,1994-01-04,0.0000349,28580.65,Turkish Lira
Average,1993-03-30,1994-03-30,0.0000492,20345.7,Turkish Lira
Average,1992-12-31,1993-12-31,0.0000605,16536.8,Turkish Lira
Average,1992-03-31,1993-03-31,0.0000775,12887,Turkish Lira
Average,1991-12-31,1992-12-31,0.0000829,12058,Turkish Lira
Average,1991-03-31,1992-03-31,0.0001205,8298.7,Turkish Lira
Average,1990-12-31,1991-12-31,0.0001368,7309.9,Turkish Lira
Average,1990-03-31,1991-03-31,0.000182,5496,Turkish Lira
Average,1989-12-31,1990-12-31,0.000215,4656,Turkish Lira
Average,1989-03-31,1990-03-31,0.000268,3730,Turkish Lira
Average,1988-12-31,1989-12-31,0.000288,3468,Turkish Lira
