Type,From date,To date,Sterling value of currency unit - £,Currency units per £1
Average,2013-03-31,2014-03-31,0.1002,9.975996
Average,2012-12-31,2013-12-31,0.1076,9.297733
Average,2012-03-31,2013-03-31,0.1412,7.080534
Average,2011-12-31,2012-12-31,0.1472,6.794202
Average,2011-03-31,2012-03-31,0.1449,6.899357
Average,2010-12-31,2011-12-31,0.1452,6.885468
Average,2010-03-31,2011-03-31,0.15,6.6673
Average,2009-12-31,2010-12-31,0.1539,6.4983
Average,2009-03-31,2010-03-31,"0.28987 (01.04.09 to 10.01.10)
          0.14969 [a] (11.01.10 to 31.03.10)","3.4498 (01.04.09 to 10.01.10)
          6.6804 [a] (11.01.10 to 31.03.10)"
Average,2008-12-31,2009-12-31,0.29744,3.3620
Average,2008-03-31,2009-03-31,0.27125,3.6867
Average,2007-12-31,2008-12-31,0.25148,3.9764
Average,2007-03-31,2008-03-31,"0.235287 (01.01.08 to 31.03.08)
          0.00021433 (01.04.07 to 31.12.07)","4.2501 (01.01.08 to 31.03.08)
          4665.73 (01.04.07 to 31.12.07)"
Average,2006-12-31,2007-12-31,0.00018666,5357.25
Average,2006-03-31,2007-03-31,0.00017397,5747.9573
Average,2005-12-31,2006-12-31,0.00019822,5044.842
Average,2005-03-31,2006-03-31,0.00021046,4751.6019
Average,2004-12-31,2005-12-31,0.000203408,4916.2392
Average,2004-03-31,2005-03-31,0.0002001,4997.8741
Average,2003-12-31,2004-12-31,0.000195,5128.1466
Average,2003-03-31,2004-03-31,0.000276,3629.222
Average,2002-12-31,2003-12-31,0.000352,2838.118
Average,2002-03-31,2003-03-31,0.000474,2108.819
Average,2001-12-31,2002-12-31,0.000569,1758.525
Average,2001-03-28,2002-03-28,0.0009163585,1091.276
Average,2000-12-31,2001-12-31,0.0009582932,1043.522
Average,2000-03-31,2001-03-31,0.0009783329,1022.147
Average,1999-12-29,2000-12-29,0.0009706184,1030.271
Average,1999-03-31,2000-03-31,0.0009902775,1009.818
Average,1998-12-30,1999-12-30,0.0010199385,980.4513
Average,1998-03-31,1999-03-31,0.0010735,931.5492
Average,1997-12-31,1998-12-31,0.0011,908.8414
Average,1997-03-31,1998-03-31,0.001221,818.8615
Average,1996-12-30,1997-12-30,0.001249,800.7369
Average,1996-04-22,1997-03-31,0.001334,749.6244
Average,1996-04-01,1996-04-21,0.002273,439.8923
Average,1996-04-22,1996-12-31,0.001349,741.0028
Average,1996-01-01,1996-04-21,0.002264,441.5667
Average,1995-12-11,1996-03-31,0.0022457,445.2836
Average,1995-04-01,1995-12-10,0.0037456,266.9779
Average,1995-12-11,1995-12-31,0.002235,447.326
Average,1995-01-01,1995-12-10,0.003739,267.4197
Average,1994-03-31,1995-03-31,0.003915,255.4542
Average,1993-12-30,1994-12-30,0.004359,229.4278
Average,1993-03-30,1994-03-30,0.006747,148.2103
Average,1992-12-31,1993-12-31,0.007276,137.4454
Average,1992-03-31,1993-03-31,0.0082904,120.62
Average,1991-12-31,1992-12-31,0.0085148,117.07
Average,1991-03-31,1992-03-31,0.0101271,98.744
Average,1990-12-31,1991-12-31,0.0102788,97.287
Average,1990-03-31,1991-03-31,0.010512,95.129
Average,1989-12-31,1990-12-31,0.011833,84.511
Average,1989-03-31,1990-03-31,0.014663,68.201
Average,1988-12-31,1989-12-31,0.015467,64.652
