Type,From date,To date,Sterling value of currency unit - £,Currency units per £1,Currency
Average,2013-03-31,2014-03-31,0,33421.130769,Dong
Average,2012-12-31,2013-12-31,0,32865.616981,Dong
Average,2012-03-31,2013-03-31,0,32986.353846,Dong
Average,2011-12-31,2012-12-31,0,33021.285714,Dong
Average,2011-03-31,2012-03-31,0,33398.544736,Dong
Average,2010-12-31,2011-12-31,0,33063.927450,Dong
Average,2010-03-31,2011-03-31,0,30237.45,Dong
Average,2009-12-31,2010-12-31,0,29549.79,Dong
Average,2009-03-31,2010-03-31,0.000034513,28974.5,Dong
Average,2008-12-31,2009-12-31,0.000035689,28019.6,Dong
Average,2008-03-31,2009-03-31,0.00003465,28859.78,Dong
Average,2007-12-31,2008-12-31,0.000032775,30510.83,Dong
Average,2007-03-31,2008-03-31,0.00003092,32340.43,Dong
Average,2006-12-31,2007-12-31,0.000031016,32241.04,Dong
Average,2006-03-31,2007-03-31,0.00003284,30455.15,Dong
Average,2005-12-31,2006-12-31,0.00003382,29567.2417,Dong
Average,2005-03-31,2006-03-31,0.000035,28298.4,Dong
Average,2004-12-31,2005-12-31,0.000035,28797.3333,Dong
Average,2004-03-31,2005-03-31,0.000034,29110.77,Dong
Average,2003-12-31,2004-12-31,0.000035,28839.6667,Dong
Average,2003-03-31,2004-03-31,0.000038,26564.48,Dong
Average,2002-12-31,2003-12-31,0.000039,25528.083,Dong
Average,2002-03-31,2003-03-31,0.000042,23813.17,Dong
Average,2001-12-31,2002-12-31,0.000043,23038.5083,Dong
Average,2001-03-28,2002-03-28,0.0000466531,21434.79,Dong
Average,2000-12-31,2001-12-31,0.0000468832,21329.6083,Dong
Average,2000-03-31,2001-03-31,0.0000473580,21115.76,Dong
Average,1999-12-29,2000-12-29,0.0000465729,21471.7083,Dong
Average,1999-03-31,2000-03-31,0.0000444018,22521.63,Dong
Average,1998-12-30,1999-12-30,0.0000444059,22519.5417,Dong
Average,1998-03-31,1999-03-31,0.0000445405,22451.46,Dong
Average,1997-12-31,1998-12-31,0.000045259,22094.9167,Dong
Average,1997-03-31,1998-03-31,0.000051,19665.03,Dong
Average,1996-12-30,1997-12-30,0.000052,19135.658,Dong
Average,1996-03-31,1997-03-31,0.000057,17556.35,Dong
Average,1995-12-31,1996-12-31,0.0000583,17165.53,Dong
Average,1995-03-31,1996-03-31,0.0000575,17379.66,Dong
Average,1994-12-30,1995-12-30,0.0000569,17582.03,Dong
Average,1994-03-31,1995-03-31,0.0000584,17108.68,Dong
Average,1993-12-30,1994-12-30,0.0000597,16743.93,Dong
Average,1993-03-30,1994-03-30,0.0000621,16100.72,Dong
Average,1992-12-31,1993-12-31,0.0000626,15964.72,Dong
Average,1992-03-31,1993-03-31,0.0000535,18666,Dong
Average,1991-12-31,1992-12-31,0.0000495,20189,Dong
Average,1991-03-31,1992-03-31,0.0000564,17730,Dong
Average,1990-12-31,1991-12-31,0.0000640,15625,Dong
Average,1990-03-31,1991-03-31,0.000099,10139,Dong
Average,1989-12-31,1990-12-31,0.000115,8671,Dong
